week_start_day,riders,calendarweek
2020-02-03,2507000,6
2020-04-06,588000,15
2020-04-20,699000,17
2020-08-03,1584000,32
2020-08-24,1755000,35
2020-09-14,1747000,38
2020-10-05,1427000,41
2020-10-12,1811000,42
2020-10-19,1722000,43
2020-10-26,1648000,44
2020-11-09,1596000,46
2020-11-23,1581000,48
2020-11-30,1606000,49
2020-12-14,1563000,51
2021-01-11,1564000,2
2021-03-08,1536000,10
2021-04-19,1629000,16
2021-05-03,1724000,18
2021-05-10,1517000,19
2021-05-17,1691000,20
2021-06-21,1792000,25
2021-07-05,1572000,27
2021-07-19,1418000,29
2021-08-30,1808000,35
2021-09-27,1877000,39
2021-10-11,1690000,41
2021-11-29,2002000,48
2021-12-27,1318000,52
2022-01-17,1731000,3
2022-01-31,1799000,5
2022-02-28,1795000,9
2022-03-28,2026000,13
2022-04-18,1678000,16
2022-05-09,2143000,19
2022-05-23,1830000,21
2022-05-30,2013000,22
2022-08-15,2032000,33
2022-08-22,2059000,34
2022-09-05,2066000,36
2022-09-26,2212000,39
2022-10-03,2016000,40
2022-10-10,2031000,41
2022-10-17,2204000,42
2022-10-24,2418000,43
2020-02-10,2538000,7
2020-02-24,2168000,9
2020-03-02,1873000,10
2020-03-09,1932000,11
2020-03-23,572000,13
2020-03-30,608000,14
2020-05-11,1232000,20
2020-06-08,1475000,24
2020-06-29,1628000,27
2020-07-06,1467000,28
2020-09-07,1775000,37
2020-09-28,1654000,40
2020-11-02,1596000,45
2020-12-07,1568000,50
2020-12-28,1008000,53
2021-01-04,1407000,1
2021-02-15,1270000,7
2021-03-01,1569000,9
2021-03-15,1529000,11
2021-03-29,1367000,13
2021-04-05,1322000,14
2021-04-26,1573000,17
2021-07-12,1481000,28
2021-07-26,1439000,30
2021-08-02,1504000,31
2021-08-09,1574000,32
2021-09-06,1781000,36
2021-09-13,1779000,37
2021-09-20,1947000,38
2021-10-18,2077000,42
2021-10-25,2266000,43
2021-11-01,2272000,44
2021-11-15,1954000,46
2021-11-22,2013000,47
2021-12-06,1978000,49
2021-12-20,1565000,51
2022-01-10,1724000,2
2022-01-24,1790000,4
2022-04-04,2035000,14
2022-06-06,1949000,23
2022-06-20,2008000,25
2022-06-27,2020000,26
2022-07-04,1702000,27
2022-07-11,1709000,28
2022-08-08,1869000,32
2022-08-29,1997000,35
2020-02-17,2479000,8
2020-03-16,822000,12
2020-04-13,613000,16
2020-04-27,780000,18
2020-05-04,915000,19
2020-05-18,1153000,21
2020-05-25,1402000,22
2020-06-01,1348000,23
2020-06-15,1714000,25
2020-06-22,1722000,26
2020-07-13,1430000,29
2020-07-20,1421000,30
2020-07-27,1379000,31
2020-08-10,1676000,33
2020-08-17,1678000,34
2020-08-31,1784000,36
2020-09-21,1797000,39
2020-11-16,1615000,47
2020-12-21,1099000,52
2021-01-18,1334000,3
2021-01-25,1372000,4
2021-02-01,1363000,5
2021-02-08,1473000,6
2021-02-22,1277000,8
2021-03-22,1551000,12
2021-04-12,1564000,15
2021-05-24,1596000,21
2021-05-31,1767000,22
2021-06-07,1741000,23
2021-06-14,1715000,24
2021-06-28,1782000,26
2021-08-16,1751000,33
2021-08-23,1752000,34
2021-10-04,1734000,40
2021-11-08,1960000,45
2021-12-13,1979000,50
2022-01-03,1632000,1
2022-02-07,1855000,6
2022-02-14,1890000,7
2022-02-21,1926000,8
2022-03-07,1644000,10
2022-03-14,1900000,11
2022-03-21,1942000,12
2022-04-11,1677000,15
2022-04-25,2137000,17
2022-05-02,2130000,18
2022-05-16,2135000,20
2022-06-13,2098000,24
2022-07-18,1641000,29
2022-07-25,1600000,30
2022-08-01,1612000,31
2022-09-12,2121000,37
2022-09-19,2165000,38
